Width	Height	nb_Planes	nb_Tracks	Pixel_Size(um)	Frame_Duration(s)	Gaussian_Fit	Spectral
200	200	5000	87144	0.160	0.020	X Y sigmaX sigmaY	False
Track	Plane	CentroidX(px)	CentroidY(px)	CentroidZ(um)	Integrated_Intensity	id	Pair_Distance(px)
 5	 17	 22.7662258148193	 183.132125854492	-1	 1266.62683105469	 328	 0
 5	 18	 22.166259765625	 183.925216674805	-1	 858.679748535156	 350	 0
 5	 19	 22.7543869018555	 183.856460571289	-1	 660.507141113281	 361	 0
 5	 20	 22.6798248291016	 184.207046508789	-1	 917.3173828125	 369	 0
 6	 11	 47.5859413146973	 155.689819335938	-1	 1728.70532226563	 208	 0
 6	 12	 47.0097961425781	 154.858474731445	-1	 949.726318359375	 219	 0
 6	 13	 46.9168243408203	 154.729446411133	-1	 1103.82299804688	 255	 0
 6	 14	 47.1697540283203	 154.772262573242	-1	 706.935119628906	 271	 0
 6	 15	 46.9398422241211	 154.712249755859	-1	 462.002807617188	 289	 0
 6	 16	 47.4141082763672	 154.58674621582	-1	 579.34765625	 307	 0
 6	 17	 47.8851776123047	 155.461639404297	-1	 1264.73266601563	 329	 0
 6	 18	 47.7525100708008	 155.299346923828	-1	 1324.236328125	 351	 0
 6	 19	 47.9285316467285	 155.09440612793	-1	 697.957824707031	 356	 0
 6	 20	 47.4995079040527	 155.575973510742	-1	 468.284484863281	 371	 0
 6	 21	 47.3107490539551	 154.962341308594	-1	 584.570678710938	 395	 0
 6	 22	 48.130313873291	 155.558395385742	-1	 572.036071777344	 411	 0
 7	 20	 118.441612243652	 60.4963455200195	-1	 786.841369628906	 387	 0
 7	 21	 118.193717956543	 60.4672317504883	-1	 926.296447753906	 392	 0
 7	 22	 118.243309020996	 60.3953132629395	-1	 1341.00451660156	 407	 0
 7	 23	 118.49552154541	 59.7876243591309	-1	 1523.07080078125	 434	 0
 7	 24	 119.024299621582	 59.1550178527832	-1	 754.147827148438	 450	 0
 7	 25	 119.068992614746	 58.8672218322754	-1	 792.294921875	 481	 0
 7	 26	 118.955780029297	 59.4732780456543	-1	 737.231201171875	 510	 0
 7	 27	 119.015602111816	 59.4981384277344	-1	 441.807434082031	 525	 0
 7	 28	 120.030303955078	 57.8156242370605	-1	 576.292846679688	 556	 0
 7	 29	 119.210777282715	 58.9677467346191	-1	 779.443237304688	 584	 0
 7	 30	 118.422500610352	 59.3842926025391	-1	 813.578552246094	 603	 0
 7	 31	 119.490859985352	 58.7428016662598	-1	 481.754211425781	 628	 0
 8	 22	 23.0407123565674	 183.05451965332	-1	 1701.62133789063	 422	 0
 8	 23	 23.0871734619141	 183.39567565918	-1	 637.569396972656	 435	 0
 8	 24	 22.8151550292969	 183.30322265625	-1	 1300.62243652344	 452	 0
 8	 25	 25.7055702209473	 182.339401245117	-1	 1074.2626953125	 486	 0
 8	 26	 26.2885398864746	 182.689178466797	-1	 666.150146484375	 494	 0
 8	 27	 26.2630100250244	 182.304702758789	-1	 804.298583984375	 524	 0
 8	 28	 24.9396190643311	 182.992935180664	-1	 877.686218261719	 558	 0
 8	 29	 25.9862651824951	 182.732940673828	-1	 1878.97705078125	 570	 0
 8	 30	 23.7209548950195	 183.662109375	-1	 1224.619140625	 601	 0
 8	 31	 24.7360897064209	 183.138565063477	-1	 2021.54956054688	 634	 0
 8	 32	 22.2060775756836	 184.013778686523	-1	 1079.97302246094	 660	 0
 8	 33	 24.3484134674072	 183.539535522461	-1	 1655.92211914063	 682	 0
 8	 34	 25.2860336303711	 183.180633544922	-1	 1972.40344238281	 703	 0
 8	 35	 25.827449798584	 182.550933837891	-1	 742.796813964844	 730	 0
 9	 23	 169.080718994141	 34.4990463256836	-1	 586.605224609375	 443	 0
 9	 24	 168.982055664063	 34.6266632080078	-1	 973.485046386719	 468	 0
 9	 25	 168.747161865234	 34.6679725646973	-1	 1181.48193359375	 478	 0
 9	 26	 169.096572875977	 34.7420425415039	-1	 1250.25756835938	 498	 0
 9	 27	 169.376708984375	 34.6081352233887	-1	 812.421508789063	 528	 0
 9	 28	 169.146987915039	 34.5587882995605	-1	 1009.39642333984	 555	 0
 9	 29	 168.833633422852	 35.1629791259766	-1	 456.261901855469	 564	 0
 9	 30	 169.164810180664	 34.5280799865723	-1	 1187.501953125	 615	 0
 9	 31	 169.129058837891	 34.349063873291	-1	 629.407348632813	 635	 0
 9	 32	 169.395431518555	 34.6102828979492	-1	 1026.17944335938	 641	 0
 9	 33	 169.389373779297	 35.1485748291016	-1	 608.767211914063	 672	 0
 9	 34	 169.258926391602	 34.1808090209961	-1	 1095.62475585938	 688	 0
 9	 35	 169.124435424805	 34.6795806884766	-1	 1248.1826171875	 720	 0
 10	 26	 79.1284332275391	 90.7033233642578	-1	 486.212585449219	 513	 0
