<xid>	<yid>	<x in nm>	<y in nm>	<Rg>	<Spring Const k>	<log10(k)>
14	200	2240.0	32000.0	1325.2283950071392	0.0007545869102771624	-3.1222907327206375
14	201	2240.0	32160.0	969.3181622841063	0.0010316530102392747	-2.9864663502652835
14	202	2240.0	32320.0	1150.983352243875	0.0008688222970822917	-3.0610690420651454
14	203	2240.0	32480.0	824.6865779074913	0.0012125818787269925	-2.916288926310254
14	204	2240.0	32640.0			
14	205	2240.0	32800.0	147.16378229197193	0.006795150168239132	-2.167800941210077
14	206	2240.0	32960.0	940.7804565842999	0.0010629472508715892	-2.973488286957239
14	207	2240.0	33120.0	546.3820667800139	0.0018302211232760375	-2.7374964365989993
14	208	2240.0	33280.0	796.5634085969367	0.001255392840303066	-2.901220352525946
14	209	2240.0	33440.0	189.72578779865137	0.005270764779014971	-2.2781263648237937
14	210	2240.0	33600.0	1421.6595566128565	0.0007034032834010752	-3.1527956087804627
15	14	2400.0	2240.0			
15	15	2400.0	2400.0	1031.412796011412	0.0009695439147808823	-3.013432515089577
15	16	2400.0	2560.0	32.6541875314347	0.03062394368371118	-1.5139388825538502
15	28	2400.0	4480.0			
15	101	2400.0	16160.0	540.0154554627221	0.001851798851096089	-2.7324061896861562
15	142	2400.0	22720.0	69.15358603149744	0.014460566073096039	-1.8398147058236436
15	143	2400.0	22880.0	114.8389524161334	0.008707846762450202	-2.06008922212151
15	144	2400.0	23040.0	784.8882896240409	0.0012740666579176471	-2.8948078495450167
15	145	2400.0	23200.0	863.9450252882964	0.0011574810557723884	-2.9364861082502625
15	146	2400.0	23360.0	613.859036082682	0.0016290384945401501	-2.788068653095515
15	147	2400.0	23520.0	887.4146818598183	0.0011268688927979292	-2.948126609638545
15	148	2400.0	23680.0	74.71295874766079	0.013384558940805022	-1.873395935476719
15	152	2400.0	24320.0			
15	153	2400.0	24480.0			
15	154	2400.0	24640.0	154.8256188023875	0.006458879400807403	-2.1898428244602313
15	155	2400.0	24800.0	908.7196064877693	0.0011004494597239211	-2.9584298984691437
15	156	2400.0	24960.0	1169.3350210921294	0.0008551869070559652	-3.0679389568133963
15	157	2400.0	25120.0	564.8348457637284	0.001770429015667178	-2.751921481344196
15	158	2400.0	25280.0	1695.7730453711583	0.000589701553948882	-3.2293677277919146
15	159	2400.0	25440.0			
15	165	2400.0	26400.0	746.228126712918	0.001340072779626961	-2.872871614372464
15	166	2400.0	26560.0	1120.3189977104798	0.000892602912245202	-3.049341700545055
15	167	2400.0	26720.0	993.7570504716435	0.0010062821687910476	-2.9972802228922677
15	178	2400.0	28480.0	123.02005922440944	0.008128755637938936	-2.0899759317661553
15	179	2400.0	28640.0	927.857190112193	0.0010777520621240038	-2.967481137513073
15	180	2400.0	28800.0	1231.7231376730504	0.0008118707600875164	-3.090513099635742
15	181	2400.0	28960.0	760.0430103713018	0.0013157150139588452	-2.8808381694365672
15	197	2400.0	31520.0	1789.5616269708385	0.0005587960676675235	-3.252746658743082
15	198	2400.0	31680.0	1392.5956380193443	0.0007180835360236201	-3.1438250305156377
15	199	2400.0	31840.0	854.9274261860278	0.0011696899284903805	-2.9319292495297145
15	200	2400.0	32000.0	843.8820395031069	0.0011849997430788055	-2.926281743813767
15	201	2400.0	32160.0	380.0340305908644	0.0026313432995598656	-2.5798224877644254
15	202	2400.0	32320.0	1478.453640549536	0.000676382385333573	-3.169807711027047
15	203	2400.0	32480.0	5.401944654306397	0.18511852008754037	-0.7325501303045122
15	206	2400.0	32960.0	372.80561318317586	0.0026823630456139507	-2.571482442727348
15	207	2400.0	33120.0	1360.946521114948	0.0007347827298759363	-3.1338410597801167
15	208	2400.0	33280.0	726.4029158323926	0.0013766464564009763	-2.861177578805122
15	209	2400.0	33440.0	433.72918679227155	0.0023055861363531797	-2.6372186479645996
15	210	2400.0	33600.0	529.9413688105454	0.0018870012021226087	-2.724227823165726
16	14	2560.0	2240.0	477.01205728119527	0.002096383067756518	-2.67852935670156
16	15	2560.0	2400.0			
16	117	2560.0	18720.0			
16	118	2560.0	18880.0	1323.738583063597	0.0007554361660182542	-3.121802227443124
16	141	2560.0	22560.0	652.1322628911564	0.0015334312637234207	-2.814335686557707
16	142	2560.0	22720.0	868.1666239890037	0.001151852619495156	-2.938603085699842
16	143	2560.0	22880.0	1037.8610250324027	0.0009635201398653344	-3.016139203124805
16	144	2560.0	23040.0	1253.5751699226612	0.0007977184168873532	-3.098150381296869
16	145	2560.0	23200.0	1176.3096217985822	0.0008501163141647996	-3.070521649410365
16	146	2560.0	23360.0	666.5314910502326	0.001500304206818993	-2.8238206729790782
16	147	2560.0	23520.0	476.39094659364724	0.002099116297550007	-2.677963499490459
16	154	2560.0	24640.0	443.67813113256693	0.0022538861616805926	-2.647068022896149
16	155	2560.0	24800.0	792.3268738058423	0.001262105367190975	-2.898904386391883
16	156	2560.0	24960.0	704.9383437263236	0.0014185637778106554	-2.8481511337993415
16	157	2560.0	25120.0	118.0482616030726	0.008471111615030946	-2.0720595959742387
16	158	2560.0	25280.0	1179.423177177598	0.000847872094893909	-3.071669657969034
16	159	2560.0	25440.0	1468.7918610670818	0.00068083165934314	-3.166960257332488
16	165	2560.0	26400.0	853.8861488559822	0.0011711163149089347	-2.9313999687923107
16	166	2560.0	26560.0	810.1912400003497	0.0012342764900785256	-2.9085875431673958
16	167	2560.0	26720.0	645.244005580553	0.001549801302067515	-2.80972397856983
16	168	2560.0	26880.0			
16	173	2560.0	27680.0	681.5689644060014	0.0014672029570353404	-2.833509806385861
16	177	2560.0	28320.0	51.8102667410143	0.019301193815479335	-1.7144158282232804
16	178	2560.0	28480.0	480.466258150096	0.0020813116072921057	-2.681662893744913
16	179	2560.0	28640.0	1585.1236259492603	0.0006308656205923019	-3.200063139092476
16	180	2560.0	28800.0	678.3888586172541	0.001474080812645242	-2.8314787067592997
16	181	2560.0	28960.0			
16	196	2560.0	31360.0	138.00236342941537	0.007246252710095607	-2.1398865241951794
16	197	2560.0	31520.0	306.6060641564387	0.0032615140954608546	-2.486580740223621
16	198	2560.0	31680.0	603.2950417862771	0.0016575637635594216	-2.7805297560578124
16	199	2560.0	31840.0			
16	200	2560.0	32000.0	874.6291704716549	0.0011433416969854062	-2.941823957760281
16	201	2560.0	32160.0	397.55890853412905	0.002515350501607873	-2.599401489610801
16	202	2560.0	32320.0	711.2582414341213	0.0014059591042258916	-2.8520273116542705
16	203	2560.0	32480.0	370.04291739291364	0.0027023892445918493	-2.5682520962454265
16	204	2560.0	32640.0			
16	206	2560.0	32960.0	49.371314823765765	0.020254676294718246	-1.6934746932131013
16	207	2560.0	33120.0	548.4534574271353	0.0018233087720717941	-2.739139778601332
16	208	2560.0	33280.0	1352.3313953240431	0.0007394637168505445	-3.1310831306030935
16	209	2560.0	33440.0	1033.6713604101537	0.0009674254683840779	-3.014382483586933
17	14	2720.0	2240.0	1480.454766624769	0.000675468121379933	-3.1703951426234163
17	15	2720.0	2400.0	747.4441623134983	0.0013378925817077597	-2.8735787543143223
17	118	2720.0	18880.0	413.0533080269765	0.0024209950158169177	-2.616006104653863
17	119	2720.0	19040.0	524.9848754065772	0.0019048167801511329	-2.7201467917448485
17	120	2720.0	19200.0	609.6993416718874	0.0016401526648492837	-2.785115726088968
17	140	2720.0	22400.0	295.4501183493671	0.003384666100615702	-2.470484168282403
17	141	2720.0	22560.0	837.7059287285155	0.0011937363288305925	-2.923091589102382
17	142	2720.0	22720.0	785.8015603538181	0.0012725859179380302	-2.895312886848376
17	143	2720.0	22880.0	805.9342754810368	0.0012407959686329651	-2.906299626222258
17	144	2720.0	23040.0	392.19516687748217	0.0025497509517050983	-2.593502237441472
17	145	2720.0	23200.0	350.2713627039401	0.0028549293675635998	-2.5444046319564273
17	146	2720.0	23360.0	1094.8850409995653	0.0009133378962663141	-3.039368522207671
17	147	2720.0	23520.0	702.2341326884562	0.0014240264798459272	-2.8464819348957597
17	148	2720.0	23680.0			
17	155	2720.0	24800.0	1076.0752707042686	0.0009293030211032738	-3.03184265098481
17	156	2720.0	24960.0	1174.5651377398276	0.0008513789213293552	-3.0698771064065555
17	157	2720.0	25120.0			
17	159	2720.0	25440.0			
17	165	2720.0	26400.0	568.8445244400397	0.0017579495926138729	-2.754993582028743
17	166	2720.0	26560.0	1191.3719081735662	0.0008393684567676695	-3.076047355483288
